actual,predicted,timestamp
42.0,36.73083,2025-07-02 06:00:00
13.0,43.76394,2025-07-02 06:00:00
22.0,35.234695,2025-07-02 06:00:00
25.0,33.193146,2025-07-02 06:00:00
19.0,39.18984,2025-07-02 06:00:00
19.0,37.949566,2025-07-02 07:00:00
17.0,39.74654,2025-07-02 07:00:00
15.0,46.33115,2025-07-02 07:00:00
23.5,36.026215,2025-07-02 07:00:00
23.0,48.028305,2025-07-02 07:00:00
31.0,45.277374,2025-07-02 08:00:00
27.0,36.841175,2025-07-02 08:00:00
18.0,53.748257,2025-07-02 08:00:00
25.0,39.782837,2025-07-02 08:00:00
9.0,38.90148,2025-07-02 08:00:00
32.5,34.01664,2025-07-02 09:00:00
40.0,45.15826,2025-07-02 09:00:00
28.0,42.59877,2025-07-02 09:00:00
29.0,34.949646,2025-07-02 09:00:00
17.0,35.713818,2025-07-02 09:00:00
41.0,40.493473,2025-07-02 10:00:00
36.5,36.057587,2025-07-02 10:00:00
36.0,35.12265,2025-07-02 10:00:00
11.0,37.313007,2025-07-02 10:00:00
20.0,43.44853,2025-07-02 10:00:00
33.0,37.011383,2025-07-02 11:00:00
46.0,42.555847,2025-07-02 11:00:00
36.0,37.605408,2025-07-02 11:00:00
25.0,38.53152,2025-07-02 11:00:00
37.0,36.956955,2025-07-02 11:00:00
39.0,43.96431,2025-07-02 12:00:00
41.0,34.69407,2025-07-02 12:00:00
36.0,39.31662,2025-07-02 12:00:00
29.0,38.812157,2025-07-02 12:00:00
31.0,34.087383,2025-07-02 12:00:00
38.0,48.47616,2025-07-02 13:00:00
31.0,31.696112,2025-07-02 13:00:00
44.0,34.098034,2025-07-02 13:00:00
51.0,33.090584,2025-07-02 13:00:00
33.5,35.207047,2025-07-02 13:00:00
27.0,56.571518,2025-07-02 14:00:00
42.0,36.19585,2025-07-02 14:00:00
35.0,37.772026,2025-07-02 14:00:00
29.75,31.48706,2025-07-02 14:00:00
38.0,31.48734,2025-07-02 14:00:00
31.0,31.381779,2025-07-02 15:00:00
19.0,52.513702,2025-07-02 15:00:00
42.0,35.614902,2025-07-02 15:00:00
22.0,38.2995,2025-07-02 15:00:00
38.0,25.22904,2025-07-02 15:00:00
20.0,34.203667,2025-07-02 16:00:00
32.25,30.312426,2025-07-02 16:00:00
47.0,32.15333,2025-07-02 16:00:00
36.0,31.012722,2025-07-02 16:00:00
18.0,58.72987,2025-07-02 16:00:00
34.0,25.818773,2025-07-02 17:00:00
25.0,35.504494,2025-07-02 17:00:00
26.25,25.835669,2025-07-02 17:00:00
38.0,31.962936,2025-07-02 17:00:00
13.0,38.842205,2025-07-02 17:00:00
14.0,36.688816,2025-07-02 18:00:00
47.0,30.623226,2025-07-02 18:00:00
35.0,25.889456,2025-07-02 18:00:00
18.0,44.34902,2025-07-02 18:00:00
22.25,31.342058,2025-07-02 18:00:00
12.0,47.66749,2025-07-02 19:00:00
35.0,33.459213,2025-07-02 19:00:00
22.0,38.620754,2025-07-02 19:00:00
24.5,33.461845,2025-07-02 19:00:00
38.0,34.617123,2025-07-02 19:00:00
30.0,36.077812,2025-07-02 20:00:00
25.0,38.021053,2025-07-02 20:00:00
40.0,34.03192,2025-07-02 20:00:00
44.0,36.039642,2025-07-02 20:00:00
28.5,27.496931,2025-07-02 20:00:00
32.5,27.474247,2025-07-02 21:00:00
18.0,34.20817,2025-07-02 21:00:00
45.0,25.877068,2025-07-02 21:00:00
25.0,32.891922,2025-07-02 21:00:00
29.0,32.360012,2025-07-02 21:00:00
42.75,28.780355,2025-07-02 22:00:00
35.0,31.76818,2025-07-02 22:00:00
36.0,26.85051,2025-07-02 22:00:00
38.0,33.072754,2025-07-02 22:00:00
31.0,36.03055,2025-07-02 22:00:00
35.0,28.88076,2025-07-02 23:00:00
38.0,27.847414,2025-07-02 23:00:00
29.0,26.516035,2025-07-02 23:00:00
34.0,34.92323,2025-07-02 23:00:00
29.0,36.663723,2025-07-02 23:00:00
23.0,35.006035,2025-07-03 00:00:00
33.0,31.671509,2025-07-03 00:00:00
35.0,32.192326,2025-07-03 00:00:00
31.0,29.137901,2025-07-03 00:00:00
30.0,37.934048,2025-07-03 00:00:00
27.0,29.553047,2025-07-03 01:00:00
16.0,32.668438,2025-07-03 01:00:00
33.0,29.991253,2025-07-03 01:00:00
29.25,27.325928,2025-07-03 01:00:00
23.0,32.88449,2025-07-03 01:00:00
27.25,28.845428,2025-07-03 02:00:00
17.0,34.25493,2025-07-03 02:00:00
34.0,32.0388,2025-07-03 02:00:00
17.0,36.49772,2025-07-03 02:00:00
11.0,29.25957,2025-07-03 02:00:00
17.0,34.195118,2025-07-03 03:00:00
13.0,26.305395,2025-07-03 03:00:00
18.0,34.212627,2025-07-03 03:00:00
28.0,32.256012,2025-07-03 03:00:00
25.5,28.083246,2025-07-03 03:00:00
24.75,27.685476,2025-07-03 04:00:00
29.0,31.776148,2025-07-03 04:00:00
20.0,27.972397,2025-07-03 04:00:00
24.0,29.388239,2025-07-03 04:00:00
11.0,25.960087,2025-07-03 04:00:00
27.0,25.150003,2025-07-03 05:00:00
23.0,32.636425,2025-07-03 05:00:00
22.0,25.353224,2025-07-03 05:00:00
27.0,27.27446,2025-07-03 05:00:00
35.0,31.057646,2025-07-03 05:00:00
24.0,30.719646,2025-07-03 06:00:00
27.5,24.195799,2025-07-03 06:00:00
31.0,33.98315,2025-07-03 06:00:00
27.0,29.881699,2025-07-03 06:00:00
39.0,28.710463,2025-07-03 06:00:00
25.0,35.397823,2025-07-03 07:00:00
33.75,29.310877,2025-07-03 07:00:00
27.0,29.881979,2025-07-03 07:00:00
32.0,41.548374,2025-07-03 07:00:00
23.0,38.991344,2025-07-03 07:00:00
34.0,43.89047,2025-07-03 08:00:00
35.0,33.028286,2025-07-03 08:00:00
33.0,43.225895,2025-07-03 08:00:00
36.0,33.45382,2025-07-03 08:00:00
27.0,37.34577,2025-07-03 08:00:00
39.0,41.58862,2025-07-03 09:00:00
41.25,34.801025,2025-07-03 09:00:00
39.0,36.086384,2025-07-03 09:00:00
36.0,35.52675,2025-07-03 09:00:00
25.0,30.012943,2025-07-03 09:00:00
65.0,39.095264,2025-07-03 10:00:00
23.0,35.035816,2025-07-03 10:00:00
47.0,41.598145,2025-07-03 10:00:00
51.0,43.76425,2025-07-03 10:00:00
37.0,41.082294,2025-07-03 10:00:00
50.0,40.332542,2025-07-03 11:00:00
51.0,43.472794,2025-07-03 11:00:00
37.0,43.552303,2025-07-03 11:00:00
27.666666666666668,37.12917,2025-07-03 11:00:00
25.0,39.33375,2025-07-03 11:00:00
52.0,40.79921,2025-07-03 12:00:00
12.0,36.835697,2025-07-03 12:00:00
28.0,41.92219,2025-07-03 12:00:00
51.0,42.086983,2025-07-03 12:00:00
34.0,42.12405,2025-07-03 12:00:00
42.0,35.98672,2025-07-03 13:00:00
29.0,57.095543,2025-07-03 13:00:00
51.0,48.079758,2025-07-03 13:00:00
33.0,36.29151,2025-07-03 13:00:00
48.0,43.153393,2025-07-03 13:00:00
111.0,41.345634,2025-07-03 14:00:00
41.0,40.50872,2025-07-03 14:00:00
36.0,33.875423,2025-07-03 14:00:00
41.0,40.277218,2025-07-03 14:00:00
37.0,72.134346,2025-07-03 14:00:00
57.0,38.98463,2025-07-03 15:00:00
39.0,39.992874,2025-07-03 15:00:00
43.75,33.16543,2025-07-03 15:00:00
66.0,36.620243,2025-07-03 15:00:00
26.0,69.10105,2025-07-03 15:00:00
24.0,36.85482,2025-07-03 16:00:00
28.0,33.420784,2025-07-03 16:00:00
44.0,41.09659,2025-07-03 16:00:00
59.0,36.541565,2025-07-03 16:00:00
13.0,70.164795,2025-07-03 16:00:00
24.0,65.153114,2025-07-03 17:00:00
25.5,31.510738,2025-07-03 17:00:00
38.0,40.27985,2025-07-03 17:00:00
34.0,40.167953,2025-07-03 17:00:00
13.0,32.796024,2025-07-03 17:00:00
28.0,37.725143,2025-07-03 18:00:00
34.0,32.289066,2025-07-03 18:00:00
13.0,33.646614,2025-07-03 18:00:00
38.0,38.292797,2025-07-03 18:00:00
25.0,67.494385,2025-07-03 18:00:00
38.0,38.81685,2025-07-03 19:00:00
15.0,66.57978,2025-07-03 19:00:00
38.0,46.511024,2025-07-03 19:00:00
22.0,41.522663,2025-07-03 19:00:00
24.5,40.43631,2025-07-03 19:00:00
31.0,40.741734,2025-07-03 20:00:00
50.0,39.939247,2025-07-03 20:00:00
27.0,39.600662,2025-07-03 20:00:00
16.0,58.54036,2025-07-03 20:00:00
