actual,predicted,timestamp
73.0,92.55635,2025-07-02 06:00:00
48.25,79.49871,2025-07-02 06:00:00
107.0,113.08959,2025-07-02 06:00:00
64.0,86.69522,2025-07-02 06:00:00
62.0,117.0647,2025-07-02 06:00:00
89.0,109.28513,2025-07-02 07:00:00
46.25,79.1254,2025-07-02 07:00:00
68.0,123.83502,2025-07-02 07:00:00
74.0,89.758514,2025-07-02 07:00:00
63.0,104.84141,2025-07-02 07:00:00
118.0,112.53781,2025-07-02 08:00:00
50.0,72.741,2025-07-02 08:00:00
73.0,119.971,2025-07-02 08:00:00
58.0,85.647865,2025-07-02 08:00:00
57.0,110.007225,2025-07-02 08:00:00
79.0,119.64675,2025-07-02 09:00:00
96.0,106.571495,2025-07-02 09:00:00
53.75,72.130516,2025-07-02 09:00:00
77.0,101.73308,2025-07-02 09:00:00
34.0,78.23322,2025-07-02 09:00:00
51.0,77.97577,2025-07-02 10:00:00
66.0,83.82757,2025-07-02 10:00:00
42.0,111.77507,2025-07-02 10:00:00
46.25,72.596504,2025-07-02 10:00:00
61.0,107.425964,2025-07-02 10:00:00
67.0,85.77094,2025-07-02 11:00:00
67.0,129.30559,2025-07-02 11:00:00
59.0,108.08196,2025-07-02 11:00:00
67.0,92.423645,2025-07-02 11:00:00
50.5,74.608116,2025-07-02 11:00:00
63.0,127.58961,2025-07-02 12:00:00
80.0,78.59733,2025-07-02 12:00:00
65.75,73.20122,2025-07-02 12:00:00
73.0,102.90566,2025-07-02 12:00:00
66.0,90.61897,2025-07-02 12:00:00
72.25,78.10218,2025-07-02 13:00:00
80.0,90.21646,2025-07-02 13:00:00
57.0,97.81714,2025-07-02 13:00:00
78.0,116.796005,2025-07-02 13:00:00
78.0,110.15385,2025-07-02 13:00:00
111.0,125.18516,2025-07-02 14:00:00
77.25,75.46197,2025-07-02 14:00:00
77.0,106.347244,2025-07-02 14:00:00
83.0,92.34922,2025-07-02 14:00:00
57.0,102.774,2025-07-02 14:00:00
74.0,108.41704,2025-07-02 15:00:00
74.0,83.18366,2025-07-02 15:00:00
94.0,100.719986,2025-07-02 15:00:00
84.75,78.8541,2025-07-02 15:00:00
138.0,123.55789,2025-07-02 15:00:00
79.0,105.485245,2025-07-02 16:00:00
83.0,89.78883,2025-07-02 16:00:00
73.0,104.427055,2025-07-02 16:00:00
79.25,79.58167,2025-07-02 16:00:00
140.0,142.3232,2025-07-02 16:00:00
108.0,128.65231,2025-07-02 17:00:00
100.0,99.52526,2025-07-02 17:00:00
86.0,97.23618,2025-07-02 17:00:00
83.0,79.68542,2025-07-02 17:00:00
75.0,71.11306,2025-07-02 17:00:00
77.25,71.112366,2025-07-02 18:00:00
85.0,94.41683,2025-07-02 18:00:00
70.0,80.22667,2025-07-02 18:00:00
75.0,91.353226,2025-07-02 18:00:00
94.0,121.63588,2025-07-02 18:00:00
72.0,93.70586,2025-07-02 19:00:00
66.0,81.28688,2025-07-02 19:00:00
70.0,90.494026,2025-07-02 19:00:00
