actual,predicted,timestamp
80.0,71.86268,2025-07-02 06:00:00
65.75,67.2721,2025-07-02 06:00:00
63.0,110.592674,2025-07-02 06:00:00
66.0,88.09515,2025-07-02 06:00:00
73.0,120.99745,2025-07-02 06:00:00
78.0,129.2165,2025-07-02 07:00:00
72.25,70.533295,2025-07-02 07:00:00
78.0,99.96878,2025-07-02 07:00:00
80.0,83.342964,2025-07-02 07:00:00
57.0,101.35742,2025-07-02 07:00:00
111.0,129.69,2025-07-02 08:00:00
77.25,67.32321,2025-07-02 08:00:00
77.0,112.35477,2025-07-02 08:00:00
83.0,76.78666,2025-07-02 08:00:00
57.0,96.71982,2025-07-02 08:00:00
138.0,126.826355,2025-07-02 09:00:00
94.0,101.77574,2025-07-02 09:00:00
84.75,66.38639,2025-07-02 09:00:00
74.0,98.38927,2025-07-02 09:00:00
74.0,78.96971,2025-07-02 09:00:00
83.0,81.81859,2025-07-02 10:00:00
73.0,121.96617,2025-07-02 10:00:00
140.0,123.74061,2025-07-02 10:00:00
79.25,69.55434,2025-07-02 10:00:00
79.0,135.89725,2025-07-02 10:00:00
83.0,88.08417,2025-07-02 11:00:00
108.0,117.672516,2025-07-02 11:00:00
100.0,121.15257,2025-07-02 11:00:00
86.0,108.27334,2025-07-02 11:00:00
75.0,70.748955,2025-07-02 11:00:00
94.0,117.05311,2025-07-02 12:00:00
70.0,69.90823,2025-07-02 12:00:00
77.25,69.304146,2025-07-02 12:00:00
85.0,125.9509,2025-07-02 12:00:00
75.0,90.47105,2025-07-02 12:00:00
64.0,60.69058,2025-07-02 13:00:00
66.0,80.331436,2025-07-02 13:00:00
72.0,96.5423,2025-07-02 13:00:00
70.0,110.697075,2025-07-02 13:00:00
70.0,104.90073,2025-07-02 13:00:00
91.0,85.0894,2025-07-02 14:00:00
49.25,56.83613,2025-07-02 14:00:00
53.0,90.919136,2025-07-02 14:00:00
85.0,68.28419,2025-07-02 14:00:00
69.0,86.18133,2025-07-02 14:00:00
40.0,83.21704,2025-07-02 15:00:00
114.0,71.45226,2025-07-02 15:00:00
38.0,86.86325,2025-07-02 15:00:00
53.25,57.298943,2025-07-02 15:00:00
78.0,84.19963,2025-07-02 15:00:00
40.0,88.74272,2025-07-02 16:00:00
73.0,66.41724,2025-07-02 16:00:00
40.0,78.74123,2025-07-02 16:00:00
53.5,53.489746,2025-07-02 16:00:00
81.0,84.20799,2025-07-02 16:00:00
70.0,99.86109,2025-07-02 17:00:00
