actual,predicted,timestamp
75.0,89.27172,2025-07-02 06:00:00
86.25,81.655235,2025-07-02 06:00:00
116.0,119.740616,2025-07-02 06:00:00
152.0,119.25669,2025-07-02 06:00:00
92.0,137.407,2025-07-02 06:00:00
141.0,134.04086,2025-07-02 07:00:00
80.5,86.91116,2025-07-02 07:00:00
108.0,115.56236,2025-07-02 07:00:00
95.0,79.78872,2025-07-02 07:00:00
145.0,155.51727,2025-07-02 07:00:00
107.0,135.62386,2025-07-02 08:00:00
56.25,78.0085,2025-07-02 08:00:00
79.0,116.50179,2025-07-02 08:00:00
63.0,96.84836,2025-07-02 08:00:00
90.0,132.86519,2025-07-02 08:00:00
88.0,96.67641,2025-07-02 09:00:00
86.0,71.91019,2025-07-02 09:00:00
60.0,55.233597,2025-07-02 09:00:00
74.0,91.5949,2025-07-02 09:00:00
75.0,61.922867,2025-07-02 09:00:00
117.0,78.81215,2025-07-02 10:00:00
73.0,92.70947,2025-07-02 10:00:00
88.0,88.572044,2025-07-02 10:00:00
56.5,69.38078,2025-07-02 10:00:00
78.0,97.86204,2025-07-02 10:00:00
73.0,102.67587,2025-07-02 11:00:00
107.0,88.64698,2025-07-02 11:00:00
62.0,85.931656,2025-07-02 11:00:00
64.0,72.51059,2025-07-02 11:00:00
48.25,55.40901,2025-07-02 11:00:00
89.0,98.20676,2025-07-02 12:00:00
74.0,71.165184,2025-07-02 12:00:00
46.25,48.295944,2025-07-02 12:00:00
68.0,78.3766,2025-07-02 12:00:00
63.0,75.09483,2025-07-02 12:00:00
50.0,48.558598,2025-07-02 13:00:00
58.0,80.6897,2025-07-02 13:00:00
57.0,59.760334,2025-07-02 13:00:00
118.0,79.71271,2025-07-02 13:00:00
73.0,83.39019,2025-07-02 13:00:00
79.0,120.08889,2025-07-02 14:00:00
53.75,52.371143,2025-07-02 14:00:00
96.0,88.49201,2025-07-02 14:00:00
34.0,57.36098,2025-07-02 14:00:00
77.0,61.145325,2025-07-02 14:00:00
66.0,76.988625,2025-07-02 15:00:00
51.0,50.551846,2025-07-02 15:00:00
61.0,98.44078,2025-07-02 15:00:00
46.25,57.38073,2025-07-02 15:00:00
42.0,103.441864,2025-07-02 15:00:00
59.0,96.42429,2025-07-02 16:00:00
67.0,62.627636,2025-07-02 16:00:00
67.0,65.720375,2025-07-02 16:00:00
50.5,52.958817,2025-07-02 16:00:00
67.0,55.533432,2025-07-02 16:00:00
63.0,90.31445,2025-07-02 17:00:00
73.0,85.011536,2025-07-02 17:00:00
66.0,74.12369,2025-07-02 17:00:00
80.0,65.71943,2025-07-02 17:00:00
65.75,55.16548,2025-07-02 17:00:00
72.25,71.477,2025-07-02 18:00:00
78.0,99.77931,2025-07-02 18:00:00
80.0,88.35936,2025-07-02 18:00:00
57.0,65.03026,2025-07-02 18:00:00
78.0,68.31388,2025-07-02 18:00:00
57.0,63.80405,2025-07-02 19:00:00
83.0,78.56491,2025-07-02 19:00:00
77.0,84.91268,2025-07-02 19:00:00
77.25,76.697914,2025-07-02 19:00:00
111.0,95.71468,2025-07-02 19:00:00
74.0,65.46139,2025-07-02 20:00:00
138.0,126.82093,2025-07-02 20:00:00
74.0,95.87829,2025-07-02 20:00:00
84.75,78.20483,2025-07-02 20:00:00
94.0,87.93369,2025-07-02 20:00:00
83.0,89.48021,2025-07-02 21:00:00
140.0,131.66772,2025-07-02 21:00:00
73.0,87.80096,2025-07-02 21:00:00
79.0,97.83639,2025-07-02 21:00:00
79.25,81.98563,2025-07-02 21:00:00
100.0,93.31392,2025-07-02 22:00:00
86.0,71.45913,2025-07-02 22:00:00
75.0,75.310844,2025-07-02 22:00:00
108.0,125.60723,2025-07-02 22:00:00
